;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;2020 Réalisé;;;;;;;;;
;en Md€;Réalisé 2020;;LFSS 2020;"Ecart
en Md€";"Ecart
en %";;Réalisé 2019;"Ecart
en Md€";"Ecart
en %";;;Maladie;Vieillesse;Famille;AT-MP;Régime général (Md€);FSV;RG+FSV (Md€);;
;Maladie;238.75700035120994;;222.3;16.457000351209928;0.07403059087363889;;216.6;22.157000351209945;0.10229455379136632;;CHARGES NETTES;238757.00035120995;139642.23602914996;49970.424115875;12274.310686129998;427758.3361853118;19126.34361086;429441.2184208318;;
;AT-MP;12.274310686129999;;12.2;0.07431068612999958;0.006091039846721278;;12.2;0.07431068612999958;0.006091039846721278;;Prestations sociales nettes;220234.23573317198;133024.20593655;36732.005947515005;9369.97630035;397534.28374156385;0;397534.28374156385;;
;Famille;49.970424115875;;50.3;-0.32957588412499916;-0.006552204455765391;;49.9;0.07042411587499942;0.0014113049273546978;;Prestations légales nettes;219949.693334422;132693.35950338998;31095.617382415006;9369.97630035;391282.50634455384;0;391282.50634455384;;
;Vieillesse;139.64223602914996;;141.7;-2.057763970850033;-0.014521975799929662;;137.1;2.5422360291499615;0.018542932378920216;;Prestations extralégales nettes;116.64902657000002;330.84643316;5636.388565100001;0;6083.884024830001;0;6083.884024830001;;
;Total régime général;427.7583361853118;;413.2;14.558336185311816;0.035233146624665576;;402.8;24.958336185311794;0.06196210572321696;;Autres prestations nettes;167.89337218000006;0;0;0;167.89337218000006;0;167.89337218000006;;
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.8;0.3263436108600004;0.01735870270531917;;Transferts nets;11889.20020350699;5085.2238830999995;10281.142472309999;1986.3073862699998;18182.379124156992;18998.540980140002;19763.678728956987;;
;Régime général + FSV;429.4412184208318;;414.8;14.641218420831763;0.035297055016470014;;404.5;24.941218420831774;0.06165937804902787;;Transferts avec d'autres régimes de base;1026.3600479569911;5085.2238830999995;5240.84724537;1639.93474071;6406.57198558699;18709.92869014;6406.57198558699;;
;;;;;;;;;;;;Transfert avec des fonds;9985.07539557;0;5040.295226939999;289.87399343;10841.54372646;0;12134.23104126;;
;Maladie;241.8105974432005;;223.8;18.01059744320048;0.08047630671671349;;218.1;23.7105974432005;0.10871433949197845;;Autres transferts versés;877.76475998;0;0;56.49865213;934.26341211;288.61229;1222.87570211;;
;AT-MP;13.660124991588672;;13.6;0.06012499158867257;0.004420955263872983;;13.6;0.06012499158867257;0.004420955263872983;;Charges de gestion courante;6593.55797759201;1526.7525554;2891.835758842349;901.55187383;11913.69816566436;125.80785627;12013.28602193436;;
;Famille;49.97794489087501;;50.3;-0.3220551091249888;-0.006402686066103157;;49.9;0.07794489087500978;0.0015620218612226408;;Autres charges;40.00643693894001;6.053654099999999;65.43993720764999;16.47512568;127.97515392659001;1.9947744499999942;129.96992837659002;;
;Vieillesse;246.03763768110798;;247.3;-1.2623623188920305;-0.005104578725806836;;241.3;4.7376376811079695;0.019633807215532404;;Charges financières;4.76299534;1.27024223;6.12150913;11.43155141;23.58629811;0;23.58629811;;
;Total régimes de base;538.096749777439;;521.3;16.796749777439004;0.03222088965555152;;509.3;28.796749777438947;0.05654182167178273;;Charges diverses;35.24344159894001;4.783411869999999;59.31842807765;5.043574270000001;104.38885581659001;1.9947744499999942;106.38363026659;;
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.8;0.3263436108600004;0.01735870270531917;;;;;;;;;;;
;Régimes de base + FSV;538.5258915891891;;521.8;16.725891589189132;0.03205421922037013;;509.7;28.825891589189098;0.05655462348281165;;;Maladie;Vieillesse;Famille;AT-MP;Régimes de base (Md€);%;FSV;ROBSS+FSV (Md€);%
;;;;;;;;;;;;CHARGES NETTES;241810.5974432005;246037.63768110797;49977.944890875006;13660.124991588673;538096.7497774389;5.662812176788035;19126.34361086;538525.8915891891;5.650753006656983
;;;;;;;;;;;;Prestations sociales nettes;222846.53437138954;242434.6624342956;36732.005947515005;10967.669730068674;511154.73230724566;4.884657951843163;0;511154.73230724566;4.884657951843163
;;;;;;;;;;;;Prestations légales nettes;221513.38918402954;241857.95116110338;31094.96990972501;10476.465197368674;503116.6352762035;4.9907148478092855;0;503116.6352762035;4.9907148478092855
;;;;;;;;;;;;Prestations extralégales nettes;136.56500270000004;572.3656822721999;5636.388565100001;3.9664266500000003;6349.285676722199;0.28362950890288285;0;6349.285676722199;0.28362950890288285
;;;;;;;;;;;;Autres prestations nettes;1196.5801846599998;4.34559092;0.64747269;487.23810604999994;1688.8113543199997;-7.053824692702538;0;1688.8113543199997;-7.053824692702538
;;;;;;;;;;;;Transferts nets;11870.20698023;1348.5873431401492;10281.142472309999;1591.21988528;13527.74162765015;++;18998.540980140002;13861.295938230152;++
;;;;;;;;;;;;Transferts avec d'autres régimes de base;684.8481428200005;131.1835282466491;5241.634264429999;1239.71840386;728.2781420766496;4.738005446481863;0;728.2781420766496;4.738005446481863
;;;;;;;;;;;;Transfert avec des fonds;10437.352775119998;37.2857438235;5040.295226939999;295.00282928999997;10815.6277191435;++;18709.92869014;10860.569739723502;++
;;;;;;;;;;;;Autres transferts versés;748.00606229;1180.11807107;-0.7870190600000058;56.49865213;1983.83576643;-10.322360723824797;288.61229;2272.44805643;-10.323011167040574
;;;;;;;;;;;;Charges de gestion courante;6750.948711772011;2012.0623878042002;2870.6768747099995;1005.6824628500001;12639.37043713621;0.4471904020503903;0.37687859;12639.74731572621;0.4458890763050949
